gene_locus	common_name
Z4610	mreB
Z1734	fabF
Z2403	uncharacterized
Z3951	uncharacterized
Z4124	ygdD
Z5734	cadA
Z1442	AIG67558.1
Z5184	yidQ
Z4218	Z4218
Z4284	yqgB
Z2199	Z2199
Z3593	yfcB
Z5059	mutM
Z5752	efp
Z3546	nuoB
Z2106	Z2106
Z4852	Z4852
Z2824	yeaH
Z4177	uncharacterized
Z4983	glyS
Z1013	ybhS
Z4195	Z4195
Z5804	ptxA
Z5835	chpS
Z5697	phnN
Z0385	ykgF
Z3282	metG
Z2947	uncharacterized
Z6019	Z6019
Z3108	Z3108
Z5817	ytfB
Z0019	nhaR
Z0356	yagV
Z4230	recJ
Z2049	AIG68162.1
Z5299	rffG
Z0915	lysY
Z3585	yfcJ
Z1673	csgD
Z0397	uncharacterized
Z5624	yjbE
Z4631	yhdY
Z5424	yihX
Z1824	Z1824
Z3256	gatB
Z4516	yhbQ
Z0296	ykfJ
Z3560	yfcC
Z5220	Z5220
Z2924	yecP
Z1558	ycdU
Z2362	AIG67483.1
Z1038	uncharacterized
Z3110	UNKNOWN
Z4310	speC
Z1042	ybiT
Z3972	ygaM
Z4055	ygbP
Z5341	yigI
Z5314	aslA
Z3838	yfhD/mltF
Z4263	fba
Z0952	AIG67057.1
Z0358	yagX
Z3733	ypfI
Z4212	hyuA
Z5553	tufB
Z6074	Z6074
Z1387	uncharacterized
Z0455	yaiM
Z3931	ECs3500
Z5210	yieH
Z5924	uncharacterized
Z5232	atpA
Z4990	xylA
Z5453	sodA
Z0507	secD
Z3118	uncharacterized
Z1068	ybjG
Z1709	flgM
Z1304	fabA
Z5458	yiiO
Z5733	yjdL
Z0082	leuB
Z5844	yjgA
Z3802	yhfR
Z5927	iadA
Z3303	yehU
Z3993	argZ
Z2546	trpE_1
Z0325	uncharacterized
Z4143	ppdA
Z3580	truA
Z4196	Z4196
Z3895	yfiL
Z4977	yiaD
Z1982	prfA
Z2801	ansA
Z2301	uncharacterized
Z1867	Z1867
Z3795	yfhF
Z2769	osmE
Z5434	fdoI
Z0336	Z0336
Z1705	mviM
Z0439	lacY
Z1539	uncharacterized
Z4049	rpoS
Z4583	nanA
Z0884	uncharacterized
Z0301	crl
Z0193	lpxA
Z5800	yjfQ
Z5919	gntP
Z2381	UNKNOWN
Z5753	ecnA
Z0191	lpxD
Z2915	ruvC
Z5168	emrD
Z2139	Z2139
Z3270	uncharacterized
Z1699	pyrC
Z2917	nudB
Z1924	Z1924
Z6020	nleF
Z4014	srlR
Z1036	ompX
Z2524	yciH
Z5514	ppc
Z3591	mepA
Z3579	dedA
Z4350	hybA
Z4501	UNKNOWN
Z0318	pinH
Z4104	AIG70122.1
Z0667	Z0667
Z5901	Z5901
Z2855	pabB
Z1012	ybhR
Z3970	alaE
Z5098	Z5098
Z0192	fabZ
Z4693	hopD
Z5757	ampC
Z4485	agaV
Z5619	ECs5004
Z5110	eae
Z5669	nrfA
Z3646	ypdB
Z2004	narI
Z1094	artP
Z3669	valY
Z0909	pal
Z3544	nuoE
Z5622	lysC
Z3409	folE
Z5042	yibD
Z4015	gutQ
Z5415	Z5415
Z0501	malZ
Z2647	gst
Z3533	yfbM
Z3206	gnu
Z4162	kduD
Z0906	tolR
Z0856	uncharacterized
Z5207	yieE
Z0173	htrA
Z1230	cydC
Z3547	nuoA
Z5842	fbp
Z5973	holD
Z3775	bamB
Z2631	cnu
Z0520	pgpA
Z2919	aspS
Z0673	fdrA
Z1741	fhuE
Z0512	tsx
Z1758	ycfV
Z0427	prpB
Z2120	Z2120
Z2062	UNKNOWN
Z4213	yqeA
Z5041	yibQ
Z1063	yliI
Z0384	ykgE
Z2715	ydiJ
Z2977	uncharacterized
Z0076	yabK
Z5139	escE
Z3059	yedU
Z1512	ycdC
Z6021	nleH1_2
Z2733	aroH
Z4276	ECs3807
Z4241	gcvH
Z5682	yjcR
Z2893	ECs2553
Z5038	yibN
Z5242	uncharacterized
Z0448	mhpD
Z5729	yjdJ
Z0018	nhaA
Z0034	lytB
Z0386	ykgG
Z0324	Z0324
Z3190	ugd
Z0927	galK
Z5735	cadB
Z2744	pheM
Z1002	moaC
Z4358	exbD
Z1914	Z1914
Z0090	fruR
Z2130	Z2130
Z2393	Z2393
Z3106	AIG68174.1
Z3141	asnW
Z3327	uncharacterized
Z5857	pyrL
Z6016	AIG67478.1
Z5343	recQ
Z1787	uncharacterized
Z4801	Z4801/recQ
Z4382	Z4382
Z5297	wecB
Z4390	yqiB
Z3356	Z3356
Z0576	acrB
Z0353	yagU
Z1328	uncharacterized
Z4219	ygfM
Z5802	sgaT
Z2665	nemR
Z2389	Z2389
Z4972	yhjX
Z3441	bcr
Z3815	yphA
Z5071	yicG
Z5623	pgi
Z2632	Z2632
Z3027	fliE
Z2492	ycjJ
Z5830	msrA
Z1309	Z1309
Z2525	pyrF
Z4145	lgt
Z3697	Z3697
Z1423	wrbA
Z2623	uidR
Z5858	yjgG_1
Z1058	yliF
Z3185	hisH
Z0959	uncharacterized
Z0932	acrZ
Z3167	yoeF
Z5045	htrL
Z0783	ybeB
Z1979	ychB
Z0129	yacL
Z1327	UNKNOWN
Z1422	yccJ
Z5978	ytjA
Z2695	Z2695
Z1112	ybjX
Z0440	lacZ
Z5174	yidK
Z3091	Z3091
Z0821	asnB
Z3959	gabD
Z1704	yceH
Z4246	ygfB
Z3665	gltX
Z1231	cydD
Z5193	dnaA
Z0607	ybaT
Z2775	spy
Z4524	yhbM
Z1473	Z1473
Z0236	gloB
Z3979	proV
Z5975	yjjG
Z2523	osmB
Z0519	thiL
Z0911	lysT
Z1538	Z1538
Z0973	ECs0835
Z2063	uncharacterized
Z4442	ygjU
Z0599	ushA
Z4656	smf
Z4650	Z4650
Z2875	Z2875
Z0565	ybaY
Z1829	Z1829
Z1766	AIG67891.1
Z1430	Z1430
Z2625	malI
Z2916	yebC
Z2724	Z2724
