protein_A	protein_B	UniProt ID (protein_A)	UniProt ID (protein_B)	source
artM__b0861__JW0845	artM__b0861__JW0845	P0AE30	P0AE30	Y2H
nrdD__b4238__JW4197	artP__b0864__JW0848	P28903	P0AAF6	Y2H
ascG__b2714__JW5434	ascG__b2714__JW5434	P24242	P24242	Y2H
era__b2566__JW2550	ascG__b2714__JW5434	P06616	P24242	Y2H
fliG__b1939__JW1923	ascG__b2714__JW5434	P0ABZ1	P24242	Y2H
frlR__b3375__JW5698	ascG__b2714__JW5434	P45544	P24242	Y2H
idnK__b4268__JW4225	ascG__b2714__JW5434	P39208	P24242	Y2H
mutM__b3635__JW3610	ascG__b2714__JW5434	P05523	P24242	Y2H
pdxK__b2418__JW2411	ascG__b2714__JW5434	P40191	P24242	Y2H
priC__b0467__JW0456	ascG__b2714__JW5434	P23862	P24242	Y2H
sgcA__b4302__JW4264	ascG__b2714__JW5434	P39363	P24242	Y2H
tolB__b0740__JW5100	ascG__b2714__JW5434	P0A855	P24242	Y2H
yabP__b0056__JW0055	ascG__b2714__JW5434	P39220	P24242	Y2H
ybdM__b0601__JW0594	ascG__b2714__JW5434	P77174	P24242	Y2H
ycbG__b0956__JW0939	ascG__b2714__JW5434	P0A8N0	P24242	Y2H
ycbW__b0946__JW5125	ascG__b2714__JW5434	P75862	P24242	Y2H
ydaG__b1355__JW5210	ascG__b2714__JW5434	P76061	P24242	Y2H
dnaK__b0014__JW0013	asd__b3433__JW3396	P0A6Y8	P0A9Q9	LIT
asnA__b3744__JW3722	asnA__b3744__JW3722	P00963	P00963	Y2H
serC__b0907__JW0890	asnA__b3744__JW3722	P23721	P00963	LIT
asnB__b0674__JW0660	asnB__b0674__JW0660	P22106	P22106	Y2H
dnaE__b0184__JW0179	asnB__b0674__JW0660	P10443	P22106	LIT
nadE__b1740__JW1729	asnS__b0930__JW0913	P18843	P0A8M0	LIT
dnaK__b0014__JW0013	aspA__b4139__JW4099	P0A6Y8	P0AC38	LIT
glnL__b3869__JW3840	aspA__b4139__JW4099	P0AFB5	P0AC38	LIT
