protein_A	protein_B	UniProt ID (protein_A)	UniProt ID (protein_B)	source
argC__b3958__JW3930	ybgD__b0719__JW0709	P11446	P37909	Y2H
aroB__b3389__JW3352	ybgD__b0719__JW0709	P07639	P37909	Y2H
cysM__b2421__JW2414	ybgD__b0719__JW0709	P16703	P37909	Y2H
ddlB__b0092__JW0090	ybgD__b0719__JW0709	P07862	P37909	Y2H
glgX__b3431__JW3394	ybgD__b0719__JW0709	P15067	P37909	Y2H
hyi__b0508__JW0496	ybgD__b0719__JW0709	P30147	P37909	Y2H
insO__b0257__JW0247	ybgD__b0719__JW0709	P75680	P37909	Y2H
kdsD__b3197__JW3164	ybgD__b0719__JW0709	P45395	P37909	Y2H
kdtA__b3633__JW3608	ybgD__b0719__JW0709	P0AC75	P37909	Y2H
kptA__b4331__JW5784	ybgD__b0719__JW0709	P39380	P37909	Y2H
mutT__b0099__JW0097	ybgD__b0719__JW0709	P08337	P37909	Y2H
NoData__b2858__JW5460	ybgD__b0719__JW0709	NoData	P37909	Y2H
pdxA__b0052__JW0051	ybgD__b0719__JW0709	P19624	P37909	Y2H
purM__b2499__JW2484	ybgD__b0719__JW0709	P08178	P37909	Y2H
secA__b0098__JW0096	ybgD__b0719__JW0709	P10408	P37909	Y2H
thiP__b0067__JW0066	ybgD__b0719__JW0709	P31549	P37909	Y2H
ybhG__b0795__JW0779	ybgD__b0719__JW0709	P75777	P37909	Y2H
yciX__b4522__JW5198+JW5199	ybgD__b0719__JW0709	NoData	P37909	Y2H
yicS__b4555__JW5965	ybgD__b0719__JW0709	Q2M7X4	P37909	Y2H
ytfB__b4206__JW5745	ybgD__b0719__JW0709	P39310	P37909	Y2H
tolA__b0739__JW0729	ybgF__b0742__JW0732	P19934	P45955	LIT
cysM__b2421__JW2414	ybgK__b0712__JW0702	P16703	P75745	Y2H
aceE__b0114__JW0110	ybhF__b0794__JW5104	P0AFG8	P0A9U1	LIT
basS__b4112__JW4073	ybhK__b0780__JW0763	P30844	P75767	LIT
ftsK__b0890__JW0873	ybhK__b0780__JW0763	P46889	P75767	LIT
ileS__b0026__JW0024	ybhK__b0780__JW0763	P00956	P75767	Y2H
leuS__b0642__JW0637	ybhK__b0780__JW0763	P07813	P75767	Y2H
rpsF__b4200__JW4158	ybhK__b0780__JW0763	P02358	P75767	LIT
rpsG__b3341__JW3303	ybhK__b0780__JW0763	P02359	P75767	LIT
secA__b0098__JW0096	ybhK__b0780__JW0763	P10408	P75767	LIT
valS__b4258__JW4215	ybhK__b0780__JW0763	P07118	P75767	LIT
ybhK__b0780__JW0763	ybhK__b0780__JW0763	P75767	P75767	Y2H
yfaW__b2247__JW2241	ybhK__b0780__JW0763	P77215	P75767	LIT
yjiQ__b4339__JW4302	ybiA__b0798__JW0783	P39387	P30176	LIT
ybiC__b0801__JW0786	ybiC__b0801__JW0786	P30178	P30178	Y2H
hypF__b2712__JW5433	ybiH__b0796__JW0780	P30131	P0ACU0	Y2H
ybiH__b0796__JW0780	ybiH__b0796__JW0780	P0ACU0	P0ACU0	Y2H
yohN__b2107__JW5346	ybiS__b0819__JW0803	P64534	P0AAX8	Y2H
secA__b0098__JW0096	ybiU__b0821__JW0805	P10408	P75791	LIT
proV__b2677__JW2652	ybjE__b0874__JW0858	P14175	P75826	Y2H
rfaD__b3619__JW3594	ybjQ__b0866__JW0850	P67910	P0A8C1	LIT
aceF__b0115__JW0111	ybjX__b0877__JW0861	P06959	P75829	LIT
dnaJ__b0015__JW0014	ybjX__b0877__JW0861	P08622	P75829	LIT
pssA__b2585__JW2569	ybjX__b0877__JW0861	P23830	P75829	LIT
rluB__b1269__JW1261	ybjX__b0877__JW0861	P37765	P75829	LIT
rnr__b4179__JW5741	ybjX__b0877__JW0861	P21499	P75829	LIT
rplO__b3301__JW3263	ybjX__b0877__JW0861	P02413	P75829	LIT
rpsF__b4200__JW4158	ybjX__b0877__JW0861	P02358	P75829	LIT
rpsG__b3341__JW3303	ybjX__b0877__JW0861	P02359	P75829	LIT
srmB__b2576__JW2560	ybjX__b0877__JW0861	P21507	P75829	LIT
tufB__b3980__JW3943	ybjX__b0877__JW0861	P0A6N1	P75829	LIT
yecE__b1868__JW1857	ycaC__b0897__JW0880	P37348	P21367	Y2H
mpl__b4233__JW4192	ycaJ__b0892__JW0875	P37773	P0AAZ4	LIT
hybG__b2990__JW2958	ycaL__b0909__JW0892	P0AAM7	P43674	Y2H
hypE__b2730__JW2700	ycaL__b0909__JW0892	P24193	P43674	Y2H
alsA__b4087__JW4048	ycaO__b0905__JW0888	P32721	P75838	LIT
secA__b0098__JW0096	ycaO__b0905__JW0888	P10408	P75838	LIT
uspG__b0607__JW0600	ycaO__b0905__JW0888	P39177	P75838	LIT
yfcY__b2342__JW2339	ycaO__b0905__JW0888	P76503	P75838	LIT
yjcP__b4080__JW4041	ycaQ__b0916__JW0899	P32714	P75843	LIT
sucB__b0727__JW0716	ycbB__b0925__JW0908	P0AFG6	P22525	LIT
accD__b2316__JW2313	ycbG__b0956__JW0939	P0A9Q5	P0A8N0	Y2H
asr__b1597__JW5826	ycbG__b0956__JW0939	P36560	P0A8N0	Y2H
era__b2566__JW2550	ycbG__b0956__JW0939	P06616	P0A8N0	Y2H
fecB__b4290__JW4250	ycbG__b0956__JW0939	P15028	P0A8N0	Y2H
rpoE__b2573__JW2557	ycbG__b0956__JW0939	P0AGB6	P0A8N0	Y2H
ygiT__b3021__JW2989	ycbG__b0956__JW0939	Q46864	P0A8N0	Y2H
groL__b4143__JW4103	ycbJ__b0919__JW0902	P0A6F5	P0AB03	LIT
fliM__b1945__JW1929	ycbL__b0927__JW0910	P06974	P75849	LIT
artP__b0864__JW0848	ycbW__b0946__JW5125	P0AAF6	P75862	Y2H
bglG__b3723__JW3701	ycbW__b0946__JW5125	P11989	P75862	Y2H
entB__b0595__JW0587	ycbW__b0946__JW5125	P0ADI4	P75862	Y2H
gshB__b2947__JW2914	ycbW__b0946__JW5125	P04425	P75862	Y2H
hisP__b2306__JW2303	ycbW__b0946__JW5125	P07109	P75862	Y2H
htpG__b0473__JW0462	ycbW__b0946__JW5125	P0A6Z3	P75862	Y2H
hypF__b2712__JW5433	ycbW__b0946__JW5125	P30131	P75862	Y2H
mhpF__b0351__JW0342	ycbW__b0946__JW5125	P77580	P75862	Y2H
ppk__b2501__JW2486	ycbW__b0946__JW5125	P0A7B1	P75862	Y2H
uhpA__b3669__JW3644	ycbW__b0946__JW5125	P0AGA6	P75862	Y2H
ycbW__b0946__JW5125	ycbW__b0946__JW5125	P75862	P75862	Y2H
yeaI__b1785__JW1774	ycbW__b0946__JW5125	P76236	P75862	Y2H
yjeO__b4158__JW4119	ycbW__b0946__JW5125	P39284	P75862	Y2H
yjgZ__b4277__JW4236	ycbW__b0946__JW5125	NoData	P75862	Y2H
yrdD__b3283__JW5949	ycbW__b0946__JW5125	NoData	P75862	Y2H
cysJ__b2764__JW2734	ycbX__b0947__JW5126	P38038	P75863	Y2H_LIT
tolB__b0740__JW5100	ycbX__b0947__JW5126	P0A855	P75863	Y2H
ycbX__b0947__JW5126	ycbX__b0947__JW5126	P75863	P75863	Y2H
bipA__b3871__JW5571	ycbY__b0948__JW0931	P32132	P75864	Y2H
fliG__b1939__JW1923	ycbY__b0948__JW0931	P0ABZ1	P75864	Y2H
hepA__b0059__JW0058	ycbY__b0948__JW0931	P60240	P75864	Y2H
manA__b1613__JW1605	ycbY__b0948__JW0931	P00946	P75864	LIT
pssA__b2585__JW2569	ycbY__b0948__JW0931	P23830	P75864	LIT
rluB__b1269__JW1261	ycbY__b0948__JW0931	P37765	P75864	Y2H_LIT
rne__b1084__JW1071	ycbY__b0948__JW0931	P21513	P75864	LIT
srmB__b2576__JW2560	ycbY__b0948__JW0931	P21507	P75864	LIT
ynbC__b1410__JW1407	ycbY__b0948__JW0931	P76092	P75864	LIT
cobB__b1120__JW1106	yccR__b0959__JW0942	P75960	P75869	Y2H_LIT
slyB__b1641__JW1633	yccT__b0964__JW0947	P0A905	P0A8X4	Y2H
stpA__b2669__JW2644	yccT__b0964__JW0947	P0ACG1	P0A8X4	Y2H
ybcY__b0562__JW0551	yccT__b0964__JW0947	NoData	P0A8X4	Y2H
ydjH__b1772__JW5289	yccT__b0964__JW0947	P77493	P0A8X4	Y2H
rplL__b3986__JW3949	yccU__b0965__JW5130	P0A7K2	P75874	LIT
era__b2566__JW2550	ycdC__b1013__JW0998	P06616	P0ACU2	Y2H
kdsB__b0918__JW0901	ycdC__b1013__JW0998	P04951	P0ACU2	Y2H
sgcA__b4302__JW4264	ycdC__b1013__JW0998	P39363	P0ACU2	Y2H
yjgZ__b4277__JW4236	ycdC__b1013__JW0998	NoData	P0ACU2	Y2H
ycdP__b1021__JW1006	ycdP__b1021__JW1006	P69432	P69432	Y2H
flgK__b1082__JW1069	ycdW__b1033__JW5146	P33235	P75913	Y2H
aceF__b0115__JW0111	yceA__b1055__JW1042	P06959	P24188	LIT
yfjN__b2630__JW2611	yceA__b1055__JW1042	P52129	P24188	LIT
pyrC__b1062__JW1049	yceD__b1088__JW1074	P05020	P0AB28	Y2H
tufB__b3980__JW3943	ycfH__b1100__JW1086	P0A6N1	P0AFQ7	LIT
lolE__b1118__JW1104	ycfL__b1104__JW1090	P75958	P75946	Y2H
fliG__b1939__JW1923	ycfM__b1105__JW5157	P0ABZ1	P0AB38	Y2H
leuO__b0076__JW0075	ycfM__b1105__JW5157	P10151	P0AB38	Y2H
lpxB__b0182__JW0177	ycfM__b1105__JW5157	P10441	P0AB38	Y2H
pbpG__b2134__JW5355	ycfM__b1105__JW5157	P0AFI5	P0AB38	Y2H
tolB__b0740__JW5100	ycfM__b1105__JW5157	P0A855	P0AB38	Y2H
yjbM__b4048__JW4008	ycfM__b1105__JW5157	P32694	P0AB38	Y2H
ynaI__b1330__JW1323	ycfM__b1105__JW5157	P0AEB5	P0AB38	Y2H
frr__b0172__JW0167	ycfP__b1108__JW5158	P0A805	P0A8E1	Y2H
smg__b3284__JW3245	ycfP__b1108__JW5158	P0A828	P0A8E1	Y2H
tpx__b1324__JW1317	ycfP__b1108__JW5158	P0A862	P0A8E1	Y2H
wbbK__b2032__JW2017	ycfP__b1108__JW5158	P37751	P0A8E1	Y2H
lpd__b0116__JW0112	ycgE__b1162__JW1149	P0A9P0	P75989	LIT
aceF__b0115__JW0111	ycgF__b1163__JW1150	P06959	P75990	LIT
groL__b4143__JW4103	ycgF__b1163__JW1150	P0A6F5	P75990	LIT
dnaK__b0014__JW0013	ycgK__b1178__JW1167	P0A6Y8	P76002	LIT
groL__b4143__JW4103	ycgR__b1194__JW1183	P0A6F5	P76010	LIT
nadE__b1740__JW1729	yciE__b1257__JW1249	P18843	P21363	LIT
yciF__b1258__JW1250	yciF__b1258__JW1250	P21362	P21362	Y2H
ydaC__b1347__JW1341	yciG__b1259__JW1251	NoData	P21361	LIT
yebV__b1836__JW5302	yciT__b1284__JW1276	P64503	P76034	Y2H
aceE__b0114__JW0110	yciU__b1248__JW1240	P0AFG8	P0A8L7	LIT
yciU__b1248__JW1240	yciU__b1248__JW1240	P0A8L7	P0A8L7	Y2H
fdx__b2525__JW2509	yciV__b1266__JW1258	P0A9R4	P77766	Y2H
groL__b4143__JW4103	ycjS__b1315__JW1308	P0A6F5	P77503	LIT
ycjW__b1320__JW1313	ycjW__b1320__JW1313	P77615	P77615	Y2H
ygcJ__b2758__JW2728	ycjW__b1320__JW1313	Q46899	P77615	LIT
maeB__b2463__JW2447	ycjZ__b1328__JW1321	P76558	P77333	LIT
aceF__b0115__JW0111	ydaM__b1341__JW5206	P06959	P77302	LIT
tufB__b3980__JW3943	ydaM__b1341__JW5206	P0A6N1	P77302	LIT
lepA__b2569__JW2553	ydaN__b1342__JW1336	P60785	P64423	Y2H
ydaN__b1342__JW1336	ydaN__b1342__JW1336	P64423	P64423	Y2H
groL__b4143__JW4103	ydaO__b1344__JW1338	P0A6F5	P76055	LIT
srlR__b2707__JW2676	ydaT__b1358__JW1353	P15082	P76064	LIT
ydaV__b1360__JW1355	ydaV__b1360__JW1355	P77546	P77546	Y2H
fldA__b0684__JW0671	ydaW__b1361__JW5211	P61949	P76066	Y2H
thiL__b0417__JW0407	ydaW__b1361__JW5211	P0AGG0	P76066	Y2H
murE__b0085__JW0083	ydaY__b1366__JW1360	P22188	P76069	Y2H_LIT
uup__b0949__JW0932	ydaY__b1366__JW1360	P43672	P76069	LIT
yeeN__b1983__JW1964	ydaY__b1366__JW1360	P0A8A2	P76069	LIT
cheR__b1884__JW1873	ydbK__b1378__JW1372	P07364	P52647	LIT
flgH__b1079__JW5153	ydbK__b1378__JW1372	P0A6S0	P52647	LIT
flgJ__b1081__JW1068	ydbK__b1378__JW1372	P75942	P52647	LIT
flhD__b1892__JW1881	ydbK__b1378__JW1372	P0A8S9	P52647	LIT
topA__b1274__JW1266	ydbK__b1378__JW1372	P06612	P52647	LIT
ydbK__b1378__JW1372	ydbK__b1378__JW1372	P52647	P52647	LIT
yjeK__b4146__JW4106	ydbK__b1378__JW1372	P39280	P52647	LIT
rfaS__b3629__JW3604	ydcC__b1460__JW1455	P27126	P28917	LIT
rplB__b3317__JW3279	ydcF__b1414__JW1411	P60422	P34209	LIT
holA__b0640__JW0635	ydcK__b1428__JW1424	P28630	P76100	LIT
rpsH__b3306__JW3268	ydcM__b1432__JW5228	P0A7W7	P76102	Y2H
recN__b2616__JW5416	ydcP__b1435__JW1431	P05824	P76104	Y2H_LIT
yncN__b4532__JW5230	ydcQ__b1438__JW1433	NoData	P67697	Y2H
groL__b4143__JW4103	ydcR__b1439__JW1434	P0A6F5	P77730	LIT
pflA__b0902__JW0885	ydcY__b1446__JW1441	P0A9N4	P64455	Y2H
yggL__b2959__JW2926	ydcY__b1446__JW1441	P38521	P64455	Y2H
frdA__b4154__JW4115	ydcZ__b1447__JW1442	P00363	P76111	LIT
entE__b0594__JW0586	yddH__b1462__JW1457	P10378	P76121	Y2H
gmhB__b0200__JW0196	yddH__b1462__JW1457	P63228	P76121	Y2H
yrdD__b3283__JW5949	yddH__b1462__JW1457	NoData	P76121	Y2H
yeiR__b2173__JW2161	yddL__b1472__JW1468	P33030	P77519	Y2H
flgJ__b1081__JW1068	ydeH__b1535__JW1528	P75942	P31129	LIT
fliZ__b1921__JW1906	ydeH__b1535__JW1528	P52627	P31129	LIT
groL__b4143__JW4103	ydeM__b1497__JW1492	P0A6F5	P76134	LIT
fldA__b0684__JW0671	ydeO__b1499__JW1494	P61949	P76135	Y2H
fecB__b4290__JW4250	ydeP__b1501__JW1495	P15028	P77561	Y2H
fkpA__b3347__JW3309	ydeV__b1511__JW1504	P45523	P77432	LIT
ybjN__b0853__JW0837	ydfE__b1577__JW1568	P0AAY6	Q47138	Y2H
ydfG__b1539__JW1532	ydfG__b1539__JW1532	P39831	P39831	Y2H
groL__b4143__JW4103	ydfH__b1540__JW1533	P0A6F5	P0ACM2	LIT
gltX__b2400__JW2395	ydfR__b1555__JW1547	P04805	P76160	LIT
manA__b1613__JW1605	ydfT__b1559__JW1551	P00946	P76161	LIT
alsB__b4088__JW4049	ydfU__b1560__JW5909	P39265	P76162	Y2H
speA__b2938__JW2905	ydfU__b1560__JW5909	P21170	P76162	Y2H
envR__b3264__JW3232	ydfZ__b1541__JW1534	P0ACT2	P64463	Y2H
ydgA__b1614__JW1606	ydgA__b1614__JW1606	P77804	P77804	LIT
fepE__b0587__JW0579	ydgH__b1604__JW1596	P26266	P76177	Y2H
yncK__b4531__JW5961	ydgH__b1604__JW1596	NoData	P76177	Y2H
ytfK__b4217__JW5749	ydgH__b1604__JW1596	P0ADE2	P76177	Y2H
ydgJ__b1624__JW5265	ydgJ__b1624__JW5265	P77376	P77376	Y2H
hns__b1237__JW1225	ydgT__b1625__JW1617	P0ACF8	P64467	LIT
stpA__b2669__JW2644	ydgT__b1625__JW1617	P0ACG1	P64467	LIT
kdsB__b0918__JW0901	ydhM__b1649__JW5874	P04951	P67430	Y2H_LIT
tufB__b3980__JW3943	ydhQ__b1664__JW1656	P0A6N1	P77552	LIT
dnaK__b0014__JW0013	ydhR__b1667__JW1657	P0A6Y8	P0ACX3	LIT
nadE__b1740__JW1729	ydhS__b1668__JW1658	P18843	P77148	LIT
ebgA__b3076__JW5511	ydhU__b1670__JW1660	P06864	P77409	Y2H
galE__b0759__JW0742	ydhY__b1674__JW1664	P09147	P0AAL6	Y2H
yfdX__b2375__JW2372	ydhY__b1674__JW1664	P76520	P0AAL6	LIT
murI__b3967__JW5550	ydiA__b1703__JW1693	P22634	P0A8A4	Y2H
rluD__b2594__JW2576	ydiA__b1703__JW1693	P33643	P0A8A4	LIT
ydiA__b1703__JW1693	ydiA__b1703__JW1693	P0A8A4	P0A8A4	Y2H
yfcL__b2325__JW2322	ydiA__b1703__JW1693	P64540	P0A8A4	Y2H
yrbB__b3191__JW5535	ydiA__b1703__JW1693	P64602	P0A8A4	Y2H
cchB__b2456__JW2440	ydiE__b1705__JW1695	P0AEJ8	P0ACX9	Y2H
fecB__b4290__JW4250	ydiE__b1705__JW1695	P15028	P0ACX9	Y2H
moaE__b0785__JW0768	ydiE__b1705__JW1695	P30749	P0ACX9	Y2H
uvrB__b0779__JW0762	ydiE__b1705__JW1695	P0A8F8	P0ACX9	Y2H
ybjN__b0853__JW0837	ydiE__b1705__JW1695	P0AAY6	P0ACX9	Y2H
ygiT__b3021__JW2989	ydiE__b1705__JW1695	Q46864	P0ACX9	Y2H
groL__b4143__JW4103	ydiF__b1694__JW1684	P0A6F5	P37766	LIT
yaiI__b0387__JW0378	ydiL__b1689__JW1679	P0A8D3	P76196	Y2H
bglG__b3723__JW3701	ydiM__b1690__JW1680	P11989	P76197	LIT
entE__b0594__JW0586	ydiR__b1698__JW1688	P10378	P77378	Y2H
sdhC__b0721__JW0711	ydiR__b1698__JW1688	P69054	P77378	Y2H
ydiQ__b1697__JW5276	ydiR__b1698__JW1688	P76201	P77378	Y2H
ygiT__b3021__JW2989	ydiR__b1698__JW1688	Q46864	P77378	Y2H
groL__b4143__JW4103	ydiU__b1706__JW1696	P0A6F5	P77649	LIT
lpd__b0116__JW0112	ydjF__b1770__JW1759	P0A9P0	P77721	LIT
dsbG__b0604__JW0597	ydjI__b1773__JW1762	P77202	P77704	LIT
ydeP__b1501__JW1495	ydjI__b1773__JW1762	P77561	P77704	LIT
ydjL__b1776__JW1765	ydjL__b1776__JW1765	P77539	P77539	Y2H
groL__b4143__JW4103	ydjQ__b1741__JW1730	P0A6F5	P76213	LIT
ffh__b2610__JW5414	yeaA__b1778__JW1767	P0AGD7	P0A746	LIT
yheS__b3352__JW3315	yeaA__b1778__JW1767	P63389	P0A746	Y2H
pheT__b1713__JW1703	yeaJ__b1786__JW5291	P07395	P76237	LIT
ycbR__b0939__JW0922	yeaK__b1787__JW1776	P75856	P64483	Y2H
rcsB__b2217__JW2205	yeaO__b1792__JW1781	P69407	P76243	LIT
leuS__b0642__JW0637	yeaP__b1794__JW5292	P07813	P76245	LIT
uidR__b1618__JW1610	yeaP__b1794__JW5292	P0ACT6	P76245	Y2H
trxB__b0888__JW0871	yeaR__b1797__JW1786	P0A9P4	P64488	Y2H
groL__b4143__JW4103	yeaU__b1800__JW1789	P0A6F5	P76251	LIT
tufB__b3980__JW3943	yeaU__b1800__JW1789	P0A6N1	P76251	LIT
yeaZ__b1807__JW1796	yeaZ__b1807__JW1796	P76256	P76256	Y2H_LIT
ygjD__b3064__JW3036	yeaZ__b1807__JW1796	P05852	P76256	Y2H_LIT
puuE__b1302__JW1295	yebE__b1846__JW1835	P50457	P33218	Y2H
intQ__b1579__JW1571	yebK__b1853__JW1842	P76168	P46118	LIT
rcsD__b2216__JW2204	yebS__b1833__JW1822	P39838	P0AD03	LIT
fucI__b2802__JW2773	yebT__b1834__JW1823	P69922	P76272	LIT
ygbT__b2755__JW2725	yebT__b1834__JW1823	Q46896	P76272	Y2H
yebV__b1836__JW5302	yebV__b1836__JW5302	P64503	P64503	Y2H
araC__b0064__JW0063	yebW__b1837__JW5303	P0A9E0	P76275	Y2H
idnD__b4267__JW4224	yecC__b1917__JW1902	P39346	P37774	LIT
groL__b4143__JW4103	yecE__b1868__JW1857	P0A6F5	P37348	LIT
uspA__b3495__JW3462	yecE__b1868__JW1857	P0AED0	P37348	Y2H
yecE__b1868__JW1857	yecE__b1868__JW1857	P37348	P37348	Y2H
accD__b2316__JW2313	yecG__b1895__JW1884	P0A9Q5	P46888	Y2H
hypF__b2712__JW5433	yecG__b1895__JW1884	P30131	P46888	Y2H
moaE__b0785__JW0768	yecG__b1895__JW1884	P30749	P46888	Y2H
yfcN__b2331__JW2328	yecG__b1895__JW1884	P0A8B2	P46888	Y2H
yrdD__b3283__JW5949	yecG__b1895__JW1884	NoData	P46888	Y2H
aroE__b3281__JW3242	yedE__b1929__JW1914	P15770	P31064	LIT
groL__b4143__JW4103	yedL__b1932__JW1917	P0A6F5	P76319	LIT
nanE__b3223__JW3192	yedO__b1919__JW5313	P0A761	P76316	LIT
yedI__b1958__JW1941	yedP__b1955__JW1938	P46125	P76329	LIT
yedW__b1969__JW5322	yedV__b1968__JW1951	P76340	P76339	LIT
ygbT__b2755__JW2725	yedV__b1968__JW1951	Q46896	P76339	Y2H
yedW__b1969__JW5322	yedW__b1969__JW5322	P76340	P76340	LIT
ynbC__b1410__JW1407	yedW__b1969__JW5322	P76092	P76340	LIT
aroB__b3389__JW3352	yeeD__b2012__JW1994	P07639	P33014	Y2H
clpB__b2592__JW2573	yeeD__b2012__JW1994	P63284	P33014	Y2H
cysM__b2421__JW2414	yeeD__b2012__JW1994	P16703	P33014	Y2H
dapE__b2472__JW2456	yeeD__b2012__JW1994	P0AED7	P33014	Y2H
ddlB__b0092__JW0090	yeeD__b2012__JW1994	P07862	P33014	Y2H
evgA__b2369__JW2366	yeeD__b2012__JW1994	P0ACZ4	P33014	Y2H
frwB__b3950__JW3922	yeeD__b2012__JW1994	P69816	P33014	Y2H
gabT__b2662__JW2637	yeeD__b2012__JW1994	P22256	P33014	Y2H
garL__b3126__JW3095	yeeD__b2012__JW1994	P23522	P33014	Y2H
glxR__b0509__JW0497	yeeD__b2012__JW1994	P77161	P33014	Y2H
hyi__b0508__JW0496	yeeD__b2012__JW1994	P30147	P33014	Y2H
insO__b0257__JW0247	yeeD__b2012__JW1994	P75680	P33014	Y2H
murA__b3189__JW3156	yeeD__b2012__JW1994	P0A749	P33014	Y2H
thiL__b0417__JW0407	yeeD__b2012__JW1994	P0AGG0	P33014	Y2H
treR__b4241__JW4200	yeeD__b2012__JW1994	P36673	P33014	Y2H
truA__b2318__JW2315	yeeD__b2012__JW1994	P07649	P33014	Y2H
yahK__b0325__JW0317	yeeD__b2012__JW1994	P75691	P33014	Y2H
yedX__b1970__JW1953	yeeD__b2012__JW1994	P76341	P33014	Y2H
yhiQ__b3497__JW5672	yeeD__b2012__JW1994	P68567	P33014	Y2H
yicS__b4555__JW5965	yeeD__b2012__JW1994	Q2M7X4	P33014	Y2H
yncK__b4531__JW5961	yeeD__b2012__JW1994	NoData	P33014	Y2H
dgsA__b1594__JW1586	yeeI__b1976__JW1958	P50456	P76346	LIT
fic__b3361__JW3324	yeeR__b2001__JW1983	P20605	P76361	Y2H
murE__b0085__JW0083	yeeU__b2004__JW1986	P22188	P76364	Y2H
nadE__b1740__JW1729	yeeU__b2004__JW1986	P18843	P76364	LIT
fliK__b1943__JW1927	yeeW__b2006__JW1988	P52614	P64526	Y2H
holA__b0640__JW0635	yeeW__b2006__JW1988	P28630	P64526	Y2H
yeeN__b1983__JW1964	yeeZ__b2016__JW1998	P0A8A2	P0AD12	LIT
astC__b1748__JW1737	yegS__b2086__JW2070	P77581	P76407	Y2H
dcrB__b3472__JW5682	yegS__b2086__JW2070	P0AEE1	P76407	Y2H
ybaX__b0444__JW0434	yegT__b2098__JW2085	P77756	P76417	LIT
holA__b0640__JW0635	yehB__b2109__JW2096	P28630	P33341	LIT
NoData__b1028__JW5145	yehD__b2111__JW2098	NoData	P33343	Y2H
fecB__b4290__JW4250	yehR__b2123__JW5351	P15028	P33354	Y2H
idnO__b4266__JW4223	yehR__b2123__JW5351	P0A9P9	P33354	Y2H
NoData__b1028__JW5145	yehR__b2123__JW5351	NoData	P33354	Y2H
pbpG__b2134__JW5355	yehR__b2123__JW5351	P0AFI5	P33354	Y2H
pdxK__b2418__JW2411	yehR__b2123__JW5351	P40191	P33354	Y2H
ybgD__b0719__JW0709	yehR__b2123__JW5351	P37909	P33354	Y2H
proA__b0243__JW0233	yehT__b2125__JW5352	P07004	P0AFT5	Y2H
yehT__b2125__JW5352	yehT__b2125__JW5352	P0AFT5	P0AFT5	Y2H
bolA__b0435__JW5060	yehY__b2130__JW2118	P0ABE2	P33361	Y2H
dppB__b3543__JW3512	yehY__b2130__JW2118	P0AEF8	P33361	Y2H
yehY__b2130__JW2118	yehY__b2130__JW2118	P33361	P33361	Y2H
mhpF__b0351__JW0342	yeiA__b2147__JW2134	P77580	P25889	Y2H
yeiT__b2146__JW2133	yeiA__b2147__JW2134	P76440	P25889	LIT
yfgB__b2517__JW2501	yeiJ__b2161__JW2148	P36979	P33021	LIT
pncB__b0931__JW0914	yeiM__b2164__JW2151	P18133	P33024	LIT
entB__b0595__JW0587	yeiR__b2173__JW2161	P0ADI4	P33030	Y2H
hslR__b3400__JW3363	yeiR__b2173__JW2161	P0ACG8	P33030	Y2H
sixA__b2340__JW2337	yeiR__b2173__JW2161	P76502	P33030	Y2H
yibT__b4554__JW3576	yeiR__b2173__JW2161	Q2M7R5	P33030	Y2H
ymbA__b0952__JW5127	yeiR__b2173__JW2161	P0AB10	P33030	Y2H
uup__b0949__JW0932	yeiT__b2146__JW2133	P43672	P76440	LIT
clpA__b0882__JW0866	yeiW__b4502__JW5361	P0ABH9	P0AFT8	Y2H
galE__b0759__JW0742	yeiW__b4502__JW5361	P09147	P0AFT8	Y2H
hcr__b0872__JW5117	yeiW__b4502__JW5361	P75824	P0AFT8	Y2H
hpt__b0125__JW5009	yeiW__b4502__JW5361	P0A9M2	P0AFT8	Y2H
insO__b0257__JW0247	yeiW__b4502__JW5361	P75680	P0AFT8	Y2H
mhpB__b0348__JW0339	yeiW__b4502__JW5361	P0ABR9	P0AFT8	Y2H
mhpF__b0351__JW0342	yeiW__b4502__JW5361	P77580	P0AFT8	Y2H
nikR__b3481__JW3446	yeiW__b4502__JW5361	P0A6Z6	P0AFT8	Y2H
yaiE__b0391__JW0382	yeiW__b4502__JW5361	P0C037	P0AFT8	Y2H
ybdH__b0599__JW0592	yeiW__b4502__JW5361	P45579	P0AFT8	Y2H
ybdL__b0600__JW0593	yeiW__b4502__JW5361	P77806	P0AFT8	Y2H
yccX__b0968__JW5131	yeiW__b4502__JW5361	P0AB65	P0AFT8	Y2H
ydcF__b1414__JW1411	yeiW__b4502__JW5361	P34209	P0AFT8	Y2H
yhaJ__b3105__JW3076	yeiW__b4502__JW5361	P67660	P0AFT8	Y2H
yicS__b4555__JW5965	yeiW__b4502__JW5361	Q2M7X4	P0AFT8	Y2H
dnaE__b0184__JW0179	yejF__b2180__JW2168	P10443	P33916	LIT
tufB__b3980__JW3943	yejF__b2180__JW2168	P0A6N1	P33916	LIT
arcB__b3210__JW5536	yejG__b2181__JW2169	P0AEC3	P0AD21	Y2H
carA__b0032__JW0030	yejG__b2181__JW2169	P0A6F1	P0AD21	Y2H
dnaN__b3701__JW3678	yejG__b2181__JW2169	P0A988	P0AD21	Y2H
fsaB__b3946__JW3918	yejH__b2184__JW2172	P32669	P33919	Y2H
groL__b4143__JW4103	yfaX__b2248__JW2242	P0A6F5	P77732	LIT
yfaX__b2248__JW2242	yfaX__b2248__JW2242	P77732	P77732	Y2H
