NAME	Log2FC
RRLG	-1.96491285
DECR	-1.969791414
HLYD	-1.978873205
FXSA	-2.011883223
ARGX	-2.023624023
USHA	-2.028596696
METF	-2.040267742
FTRA	-2.043624716
RBN	-2.074677499
GUTQ	-2.117730795
ETPM	-2.145670561
ETPN	-2.162985341
MHPA	-2.192265707
RIBB	-2.199040542
ZNTB	-2.214028968
SUCC	-2.215275531
CPDB	-2.238310328
PSIF	-2.244959865
GLGC	-2.246771696
HLYB	-2.345472281
OMPF	-2.348869493
SSRS	-2.406224604
GLPQ	-2.423432997
SRLR	-2.426001393
LEUO	-2.455274008
NLPD	-2.475188111
CRL	-2.485453635
EUTD	-2.539469593
SSUB	-2.543029248
FBPC	-2.638827233
CLPA	-2.639159024
NLEG	-2.643097909
UBIC	-2.668321436
NRFA	-2.679324063
RRSH	-2.690781546
MALQ	-2.73809087
GLPD	-2.750887803
GNTK	-2.766283252
UBIA	-2.863989789
GLDA	-2.889907374
FADL	-2.939462656
GATY	-2.95908797
SSEA	-3.123324841
MALS	-3.173840699
CSRB	-3.305865773
ARAG	-3.346869281
SUCA	-3.409205198
GLPC	-3.431175932
ANSB	-3.437680254
FUCI	-3.479611471
ACEK	-3.574873109
ARAD	-3.583005511
ACTP	-3.711080272
PUUD	-3.733142072
GLPT	-3.769690623
LLDD	-3.800871589
GLTA	-4.039803416
XYLF	-4.134633862
SELC	-4.161558519
ASNT	-4.229503208
RIHA	-4.245682679
APHA	-4.252876668
GARR	-4.253016823
LLDR	-4.324493178
FADA	-4.340393264
ASPA	-4.494824307
GLPK	-4.576403021
GLPA	-4.722424256
ASTD	-4.759530104
ARGD	-4.833240922
FUMC	-4.963269371
FADJ	-5.283706037
FTNB	-5.379770191
CMTB	-5.456718595
PUTA	-5.465939612
SDHB	-5.479550857
SDHD	-5.658819459
SDHA	-5.807571717
FADI	-5.837611892
SDHC	-5.856321939
RBSC	-5.86317816
DADX	-5.963481859
UNKNOWN	-5.972118332
MALG	-5.995241964
YHAO	-6.042462236
MGLC	-6.1892457
FADE	-6.193187919
MALF	-6.530448165
MALE	-6.774767206
FADB	-6.838766902
LAMB	-7.008387041
RBSD	-7.072241763
MHPR	-7.180736287
MGLB	-7.22741238
TNAB	-7.30203813
YQEC	-7.433999302
YCHH	-7.446332907
MALK	-7.4963831
TNAA	-7.527879548
PHEL	-7.704981472
